path,label,file_size,entropy,entry_point,bias,is_stripped,section_count,program_header_count,text_size,data_size,rodata_size,bss_size,dynsym_count,symtab_count,instruction_estimate,instruction_estimate_low,instruction_estimate_high,reserved_0,reserved_1,reserved_2,has_writable_executable,has_exec_stack,is_pie,has_imported_libraries,suspicious_string_count,reserved_3,reserved_4
/home/zacharywinn/projects/winncore-ml-detector/data/benign/nano,0.0,332376.0,5.789065254103025,35648.0,1.0,1.0,29.0,12.0,203248.0,2497.0,31372.0,1928.0,198.0,0.0,50812.0,5081.200000000001,15243.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ppmhist,0.0,67824.0,1.2211152612278378,6720.0,1.0,1.0,29.0,12.0,3604.0,16.0,1192.0,48.0,31.0,0.0,901.0,90.10000000000001,270.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ping,0.0,212752.0,2.71692026339397,19392.0,1.0,1.0,29.0,13.0,41316.0,79488.0,10752.0,4448.0,106.0,0.0,10329.0,1032.9,3098.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/clear_console,0.0,67824.0,0.8645387419669961,5120.0,1.0,1.0,30.0,13.0,1820.0,16.0,502.0,24.0,34.0,0.0,455.0,45.5,136.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ntfsfallocate,0.0,67912.0,1.8543126765668063,10432.0,1.0,1.0,30.0,12.0,5776.0,24.0,2864.0,88.0,56.0,0.0,1444.0,144.4,433.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/qt-faststart,0.0,67896.0,1.4582406984670406,5632.0,1.0,1.0,30.0,13.0,5328.0,16.0,1114.0,8.0,26.0,0.0,1332.0,133.20000000000002,399.59999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/rawtoppm,0.0,67824.0,0.8706903797194171,5568.0,1.0,1.0,29.0,12.0,2664.0,16.0,249.0,8.0,26.0,0.0,666.0,66.60000000000001,199.79999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/x86_64-w64-mingw32-gcov-posix,0.0,985616.0,6.630949060406879,4216704.0,1.0,1.0,27.0,9.0,487248.0,536.0,355984.0,1824.0,145.0,0.0,121812.0,12181.2,36543.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnupr,0.0,68264.0,5.988708524824394,11904.0,1.0,1.0,31.0,13.0,39972.0,296.0,8437.0,528.0,86.0,0.0,9993.0,999.3000000000001,2997.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnome-session-quit,0.0,68128.0,0.8288477807723377,4544.0,1.0,1.0,29.0,12.0,1480.0,304.0,541.0,24.0,30.0,0.0,370.0,37.0,111.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
